Name,Standort,Kanton,Adresse,Telefon,E-Mail,Website,Kontaktperson,Lehrgang Start,Lehrgang Dauer,Kosten CHF,TN pro Jahr (Schätzung),IT-Modul intern,SIZ-Status,Priorität,Anmerkungen
KV Business School Zürich (kvz-weiterbildung),Zürich,ZH,Sihlpostgasse 2 8004 Zürich,044 221 15 15,info@kv-business-school.ch,www.kv-business-school.ch,Studienberatung,August/Oktober,1-2 Jahre berufsbegleitend,ca. CHF 6000-8000,50-80,Ja (Office 365 integriert),Zu klären,Höchste,Grösster Anbieter CH; KV-Verband Zürich als Träger; Office-Schulungen Teil des Lehrgangs
gibb Bern,Bern,BE,Lorrainestrasse 1 3013 Bern,031 335 94 71,weiterbildung@gibb.ch,www.gibb.ch,Kursberatung,Oktober,1-2 Jahre,ca. CHF 5500-7500,20-40,Zu klären,Zu klären,Hoch,Grosser Anbieter BE
WBZ Luzern (sluz.ch),Luzern / Sursee,LU,Centralstrasse 16 6210 Sursee,041 590 74 17,wb@sluz.ch,www.wbz.lu.ch,Patrick Krummenacher,September,1-2 Jahre,ca. CHF 5000-7000,15-25,Zu klären,Bestandskunde SIZ,Höchste,SIZ-Bestandskunde aus Hauswart-Recherche; direkter Hebel!
KV Bern,Bern,BE,Effingerstrasse 65 3008 Bern,031 380 60 60,info@kvbern.ch,www.kvbern.ch,Kursberatung,Oktober,2 Jahre,ca. CHF 6000,15-25,Zu klären,Zu klären,Hoch,KV-Verband Bern
SIB Zürich,Zürich,ZH,Lagerstrasse 2 8004 Zürich,044 283 45 45,info@sib.ch,www.sib.ch,Beratung,August,2 Jahre berufsbegleitend,ca. CHF 7000-9000,20-40,Zu klären,Zu klären,Hoch,Schweizerisches Institut für Betriebsökonomie; kaufmännisch ausgerichtet
EB Zürich,Zürich,ZH,Riesbachstrasse 11 8090 Zürich,043 259 79 00,info@eb-zuerich.ch,www.eb-zuerich.ch,Beratung,variabel,2 Jahre,ca. CHF 5500,10-20,Zu klären,Zu klären,Mittel,Erwachsenenbildung Zürich; Kantonsschule
KV Winterthur,Winterthur,ZH,Rudolfstrasse 32 8400 Winterthur,052 267 90 20,info@kv-winterthur.ch,www.kv-winterthur.ch,Kursberatung,September,2 Jahre,ca. CHF 5500-7000,10-20,Zu klären,Zu klären,Mittel,KV-Verband Winterthur
ABZ Zugerland / KV Zug,Zug,ZG,Baarerstrasse 100 6300 Zug,041 724 60 00,info@abz.ch,www.abz.ch,Beratung,Oktober,2 Jahre,ca. CHF 6000,10-20,Zu klären,Zu klären,Mittel,
KV Aarau,Aarau,AG,Igelweid 2 5000 Aarau,062 834 21 00,info@kv-aarau.ch,www.kv-aarau.ch,Kursberatung,September,2 Jahre,ca. CHF 5500,10-15,Zu klären,Zu klären,Mittel,
KV Luzern,Luzern,LU,Grossmatte 8 6014 Luzern,041 228 40 00,info@kvlu.ch,www.kvlu.ch,Beratung,September,2 Jahre,ca. CHF 5500-7000,10-20,Zu klären,Zu klären,Mittel,Separate Institution von WBZ Luzern
KV St.Gallen,St. Gallen,SG,Notkerstrasse 22 9000 St. Gallen,071 228 10 28,info@kvsg.ch,www.kvsg.ch,Beratung,Oktober,2 Jahre,ca. CHF 5500,10-15,Zu klären,Zu klären,Mittel,
KV Basel,Basel,BS,Aeschengraben 15 4051 Basel,061 270 90 00,info@kvbasel.ch,www.kvbasel.ch,Kursberatung,September,2 Jahre,ca. CHF 6000,10-20,Zu klären,Zu klären,Mittel,
STFW Winterthur,Winterthur,ZH,Schlosstalstrasse 139 8408 Winterthur,052 260 28 00,info@stfw.ch,www.stfw.ch,Beratung,variabel,2 Jahre,ca. CHF 6500,10-20,Zu klären,Zu klären,Mittel,Schweizerische Technische Fachschule; breites WB-Angebot
Forum Weiterbildung Bern,Bern,BE,Bundesgasse 8 3011 Bern,031 311 89 22,info@forumbildung.ch,www.forumbildung.ch,Beratung,variabel,2 Jahre,ca. CHF 5500,5-10,Zu klären,Zu klären,Tief,
Écoles de Commerce Romandie (ECC),Lausanne,VD,variiert,021 315 00 00,variiert,variiert,variiert,September,2 Jahre,ca. CHF 6000-8000,10-20,Zu klären,Zu klären,Mittel (Romandie),Mehrere Schulen Romandie; franz. Kurs
Ecole de Commerce Rive-Gauche Genf,Genf,GE,Rue de Rive 2 1204 Genf,022 311 90 80,info@ecrg.ch,www.ecrg.ch,Beratung,September,2 Jahre,ca. CHF 6500,5-10,Zu klären,Zu klären,Mittel (Romandie),
